MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity
"Johnson City, TN","Johnson City, TN",38673.0,201.844,7805861.0,106.274,27740,6805407.0,33716.17189512693,1.56,1.72,-0.8663563,1.3518708
"Johnstown, PA","Johnstown, PA",40721.0,133.054,5418137.0,66.721,27780,4455663.0,33487.62908292873,1.205,1.315,0.4373934,1.8350359
"Jonesboro, AR","Jonesboro, AR",35330.0,131.158,4633788.0,76.95,27860,4463753.0,34033.40246115372,1.4325,1.565,,
"Joplin, MO","Joplin, MO",38856.0,178.33,6929259.0,102.375,27900,7030145.0,39422.11069365783,1.085,1.205,-1.3846338,6.3960743
"Kahului-Wailuku-Lahaina, HI","Kahului-Wailuku-Lahaina, HI",47322.0,166.491,7878703.0,108.761,27980,9073660.0,54499.40237009808,2.1,2.57,,
"Kalamazoo-Portage, MI","Kalamazoo-Portage, MI",46675.0,263.001,12275693.0,155.827,28020,12087272.0,45959.03437629515,1.205,1.315,0.04513974,2.4802504
"Kankakee, IL","Kankakee, IL",39602.0,110.544,4377733.0,56.624,28100,4366489.0,39500.00904617166,1.1775,1.2875,0.0011251341,3.1808586
"Kansas City, MO-KS","Kansas City, MO-KS",51717.0,2127.259,110016377.0,1389.62,28140,117992341.0,55466.84301253397,1.1775,1.2875,-0.79256713,3.1908052
"Kennewick-Richland, WA","Kennewick-Richland, WA",43064.0,290.57,12513028.0,152.252,28420,13583256.0,46746.931892487184,1.525,1.6749999999999998,0.7886852,2.2897198
"Killeen-Temple, TX","Killeen-Temple, TX",40717.0,443.653,18064319.0,229.364,28660,16523551.0,37244.31255959049,1.6749999999999998,1.8825,-1.0092105,4.5897794
"Kingsport-Bristol, TN-VA","Kingsport-Bristol-Bristol, TN-VA",38369.0,306.253,11750493.0,158.483,28700,11775436.0,38450.026611984205,1.3725,1.495,,
"Kingston, NY","Kingston, NY",48508.0,178.723,8669500.0,91.007,28740,6184371.0,34603.106483217045,2.0275,2.4524999999999997,,
"Knoxville, TN","Knoxville, TN",43770.0,852.673,37321823.0,508.476,28940,37689515.0,44201.604835616934,1.315,1.4300000000000002,-0.37212443,1.4200677
"Kokomo, IN","Kokomo, IN",39916.0,82.311,3285555.0,49.953,29020,5268619.0,64008.686566801516,0.51,1.02,-0.95596826,4.9113264
"La Crosse-Onalaska, WI-MN","La Crosse-Onalaska, WI-MN",48094.0,136.778,6578165.0,97.155,29100,6817787.0,49845.64038076299,0.6375,1.0525,0.41301635,2.178696
"Lafayette, LA","Lafayette, LA",41832.0,490.107,20502118.0,286.617,29180,20970840.0,42788.289087893056,1.3425,1.46,-1.0335966,4.844548
"Lafayette-West Lafayette, IN","Lafayette-West Lafayette, IN",37534.0,228.535,8577730.0,127.572,29200,9241476.0,40437.90229067758,1.205,1.315,-0.3441132,2.484033
"Lake Charles, LA","Lake Charles, LA",46206.0,209.256,9668869.0,143.33,29340,15880707.0,75891.2862713614,0.51,1.02,-1.0483427,2.322959
"Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ",31742.0,207.114,6574242.0,69.977,29420,4900560.0,23661.17210811437,2.57,,,
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",34591.0,685.83,23723273.0,301.085,29460,21816610.0,31810.52155782045,1.72,1.955,0.2610534,1.563471
"Lancaster, PA","Lancaster, PA",49961.0,541.054,27031379.0,334.809,29540,25768354.0,47626.2147586008,1.3425,1.46,0.28924814,2.2425003
"Lansing-East Lansing, MI","Lansing-East Lansing, MI",39981.0,548.812,21942006.0,300.251,29620,21810294.0,39740.92038803816,1.085,1.205,0.1927484,2.5759208
"Laredo, TX","Laredo, TX",30153.0,273.982,8261470.0,142.17,29700,12794056.0,46696.70270309729,1.02,1.15,,
"Las Cruces, NM","Las Cruces, NM",35144.0,216.186,7597698.0,100.148,29740,6712348.0,31048.94859056553,1.63,1.81,,
"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",45087.0,2183.31,98439211.0,1306.107,29820,101392420.0,46439.77263879156,1.63,1.81,-0.6918355,1.385496
"Lawrence, KS","Lawrence, KS",41899.0,120.629,5054290.0,73.719,29940,4404306.0,36511.17061403145,1.4000000000000001,1.525,-0.5781117,3.8567474
"Lawton, OK","Lawton, OK",39614.0,127.589,5054333.0,68.739,30020,4512201.0,35365.1255202251,1.63,1.81,,
"Lebanon, PA","Lebanon, PA",46194.0,139.566,6447129.0,67.479,30140,5473599.0,39218.71372683891,1.7650000000000001,2.0275,,
"Lewiston, ID-WA","Lewiston, ID-WA",43771.0,62.881,2752378.0,36.518,30300,2515313.0,40001.16092301331,1.595,1.7650000000000001,,
"Lewiston-Auburn, ME","Lewiston-Auburn, ME",39600.0,107.569,4259690.0,62.683,30340,4147966.0,38560.979464343814,1.085,1.205,0.9728033,2.2408197
"Lexington-Fayette, KY","Lexington-Fayette, KY",46387.0,512.732,23783859.0,356.827,30460,25865000.0,50445.4568858585,1.1775,1.2875,0.1869609,2.6255813
"Lima, OH","Lima, OH",40712.0,103.069,4196097.0,63.99,30620,7249480.0,70336.18255731597,0.51,1.02,-0.88453645,4.628184
"Lincoln, NE","Lincoln, NE",47575.0,331.179,15755684.0,231.07,30700,17029139.0,51419.74279770155,1.1775,1.2875,0.7611754,2.6234624
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",43901.0,737.991,32398653.0,459.487,30780,33865487.0,45888.7533858814,1.315,1.4300000000000002,-0.84868586,2.7923145
"Logan, UT-ID","Logan, UT-ID",37269.0,138.052,5145071.0,83.619,30860,4983857.0,36101.30240778837,1.56,1.72,,
"Longview, TX","Longview, TX",39526.0,285.134,11270199.0,170.163,30980,15519519.0,54428.86151774253,1.2325,1.3425,-1.2839355,4.74681
"Longview, WA","Longview, WA",43046.0,106.9,4601607.0,50.108,31020,4351020.0,40701.77736202058,1.81,2.1,,
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",60649.0,13298.709,806547539.0,8685.121,31080,912491020.0,68615.0076672856,1.7650000000000001,2.0275,0.49499214,0.6265944
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",48163.0,1260.391,60704406.0,819.134,31140,62960211.0,49952.9201652503,1.0525,1.1775,-0.46531576,2.3400092
"Lubbock, TX","Lubbock, TX",40416.0,316.588,12795311.0,198.855,31180,12693422.0,40094.45083199615,1.1175,1.2325,-0.7404839,4.326721
"Lynchburg, VA","Lynchburg, VA",38720.0,261.954,10142865.0,136.887,31340,9248387.0,35305.38567840155,1.56,1.72,-0.8257174,2.8959186
"Macon-Bibb County, GA","Macon, GA",39399.0,229.081,9025569.0,136.684,31420,10088993.0,44041.16011367158,1.1175,1.2325,-0.83931273,3.620202
"Madera, CA","Madera, CA",38062.0,155.904,5933946.0,64.699,31460,6658105.0,42706.44114326766,1.81,2.1,,
"Madison, WI","Madison, WI",56695.0,654.577,37111247.0,506.517,31540,45492200.0,69498.62277470794,1.085,1.205,0.40438956,2.2471561
"Manchester-Nashua, NH","Manchester-Nashua, NH",58305.0,413.157,24089099.0,272.444,31700,24782415.0,59983.045186212505,1.4025,1.53,,
"Manhattan, KS","Manhattan, KS",44212.0,131.587,5817725.0,90.114,31740,6308970.0,47945.23775144961,1.085,1.205,,
"Mankato, MN","Mankato-North Mankato, MN",44871.0,100.945,4529513.0,71.585,31860,5537542.0,54857.02115013126,1.315,1.4300000000000002,,
"Mansfield, OH","Mansfield, OH",37865.0,120.543,4564417.0,64.605,31900,4324887.0,35878.37535153431,1.1775,1.2875,-0.90952533,4.3915715
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",25451.0,858.323,21845363.0,375.913,32580,20381184.0,23745.35460426902,1.3425,1.46,-0.44865185,3.6774044
"Medford, OR","Medford, OR",44533.0,216.761,9653010.0,122.841,32780,7957275.0,36709.90168895696,2.1,2.57,0.84818846,1.38683
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",44655.0,1339.29,59806264.0,850.468,32820,66457886.0,49621.729423799174,1.02,1.15,1.1808224,1.7646465
"Merced, CA","Merced, CA",38037.0,271.34,10320877.0,104.048,32900,9504388.0,35027.596373553475,1.6749999999999998,1.8825,0.63786805,2.3867307
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",54409.0,6149.687,334597043.0,3968.762,33100,306141923.0,49781.70807717531,1.495,1.64,0.83278453,0.62442166
"Michigan City-La Porte, IN","Michigan City-La Porte, IN",40561.0,109.911,4458143.0,53.246,33140,3848432.0,35014.07502433787,1.46,1.595,,
"Midland, MI","Midland, MI",58229.0,83.245,4847268.0,47.327,33220,4882666.0,58654.165415340256,0.8574999999999999,1.1675,,
"Midland, TX","Midland, TX",108595.0,170.948,18564171.0,146.966,33260,28703870.0,167909.9492243255,0.51,1.02,,
"Milwaukee-Waukesha, WI","Milwaukee-Waukesha-West Allis, WI",54216.0,1575.151,85397956.0,1054.13,33340,90473698.0,57438.11101284893,1.085,1.205,0.4569242,1.0286416
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",60167.0,3577.765,215263552.0,2503.165,33460,231078542.0,64587.40079351215,1.2875,1.4025,0.377654,1.4473755
"Missoula, MT","Missoula, MT",47086.0,117.863,5549745.0,83.918,33540,4844547.0,41103.204568015404,1.7650000000000001,2.0275,,
"Mobile, AL","Mobile, AL",36705.0,431.047,15821495.0,242.879,33660,18417975.0,42728.46116548775,1.1175,1.2325,-0.9985673,2.0380118
"Modesto, CA","Modesto, CA",42354.0,545.267,23094445.0,247.366,33700,21993425.0,40335.14773496288,1.7650000000000001,2.0275,0.24703155,2.1665163
"Monroe, LA","Monroe, LA",38726.0,203.898,7896114.0,116.52,33740,8411633.0,41254.12215911877,1.3425,1.46,-0.85972834,3.5773146
"Monroe, MI","Monroe, MI",45498.0,149.592,6806075.0,57.797,33780,5598240.0,37423.3916252206,1.955,2.335,,
"Montgomery, AL","Montgomery, AL",41592.0,374.042,15557315.0,228.227,33860,15949874.0,42641.9332588319,1.3725,1.495,-0.991755,3.5814338
"Morgantown, WV","Morgantown, WV",40728.0,139.739,5691282.0,86.031,34060,6814633.0,48766.8653704406,1.1175,1.2325,,
"Morristown, TN","Morristown, TN",34280.0,140.967,4832342.0,66.904,34100,4544914.0,32240.97838501209,1.4000000000000001,1.525,,
"Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA",50119.0,126.026,6316247.0,69.176,34580,7122050.0,56512.54503039055,1.955,2.335,,
"Muncie, IN","Muncie, IN",35713.0,115.389,4120845.0,60.37,34620,3827953.0,33174.33204204906,0.51,1.02,,
"Muskegon, MI","Muskegon, MI",37207.0,173.656,6461284.0,81.297,34740,5922919.0,34107.19468374257,1.1775,1.2875,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",37565.0,463.386,17407041.0,231.531,34820,14573758.0,31450.578998933936,2.57,,-0.8307686,1.8298993
"Napa, CA","Napa, CA",69791.0,140.386,9797716.0,104.814,34900,9506546.0,67717.19402219594,1.81,2.1,,
"Naples-Marco Island, FL","Naples-Immokalee-Marco Island, FL",87092.0,372.345,32428403.0,222.912,34940,15140542.0,40662.67037290685,2.4524999999999997,2.57,0.28914294,1.2103633
"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",55382.0,1875.736,103882532.0,1328.037,34980,113138597.0,60316.908669450284,1.315,1.4300000000000002,-0.40588725,2.2373788
"New Bern, NC","New Bern, NC",41547.0,125.01,5193736.0,67.648,35100,4732591.0,37857.69938404928,1.8825,2.2175000000000002,,
"New Haven-Milford, CT","New Haven-Milford, CT",53605.0,857.794,45981789.0,507.383,35300,47266161.0,55101.99535086512,1.3425,1.46,0.19096313,0.97508156
"New Orleans-Metairie, LA","New Orleans-Metairie, LA",49799.0,1270.465,63267329.0,801.449,35380,72614343.0,57155.72093682234,1.315,1.4300000000000002,-1.2392069,0.80832744
"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",72951.0,19325.698,1409827684.0,12604.575,35620,1508145135.0,78038.3267398673,1.1400000000000001,1.26,0.5402692,1.1187004
"Niles, MI","Niles-Benton Harbor, MI",45651.0,154.362,7046806.0,83.707,35660,6828838.0,44239.113253261814,1.3725,1.495,-0.42084888,2.0585573
"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",53730.0,805.139,43260349.0,435.243,35840,29166615.0,36225.56477825568,2.1,2.57,0.9218807,0.9216967
"Norwich-New London, CT","Norwich-New London, CT",56545.0,267.826,15144163.0,167.734,35980,16914681.0,63155.48527775496,1.145,1.26,0.45581627,1.4649011
"Ocala, FL","Ocala, FL",35719.0,353.717,12634266.0,150.635,36100,8922757.0,25225.694552424677,2.1,2.57,2.2292984,1.7342399
"Ocean City, NJ","Ocean City, NJ",57976.0,93.184,5402435.0,61.744,36140,4757727.0,51057.338169642855,2.335,2.57,,
"Odessa, TX","Odessa, TX",42548.0,157.173,6687437.0,95.572,36220,11722833.0,74585.53950105935,0.51,1.02,,
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",41795.0,664.589,27776744.0,358.258,36260,25098089.0,37764.82758516918,2.1,2.57,,
"Oklahoma City, OK","Oklahoma City, OK",45951.0,1383.249,63561386.0,869.931,36420,77302505.0,55884.73586462018,1.205,1.315,-0.3716212,3.2940452
"Olympia-Lacey-Tumwater, WA","Olympia-Tumwater, WA",48820.0,280.289,13683817.0,150.093,36500,11737238.0,41875.485659444355,2.1,2.57,0.574029,1.7508687
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",55229.0,932.217,51485749.0,632.842,36540,55649803.0,59696.1898356284,1.205,1.315,-0.55850136,3.470304
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",41748.0,2512.917,104909584.0,1651.404,36740,119246663.0,47453.48254637937,1.4300000000000002,1.56,0.31624892,1.1201638
"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI",46131.0,170.375,7859570.0,116.298,36780,9131319.0,53595.4159941306,0.51,1.02,,
"Owensboro, KY","Owensboro, KY",40016.0,118.543,4743650.0,67.869,36980,5150432.0,43447.79531478029,1.1175,1.2325,,
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",58761.0,850.802,49994234.0,466.151,37100,52776068.0,62030.9637259903,2.57,,1.2058959,0.7495063
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",43371.0,588.265,25513929.0,292.233,37340,22465459.0,38189.35173773725,1.72,1.955,0.4130658,0.9328778
"Panama City, FL","Panama City, FL",41499.0,184.046,7637747.0,108.405,37460,7463278.0,40551.155689338535,1.495,1.64,,
"Parkersburg-Vienna, WV","Parkersburg-Vienna, WV",39010.0,90.873,3544962.0,47.506,37620,3356685.0,36938.19946518768,1.1175,1.2325,-0.6653284,2.51822
"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL",41592.0,487.327,20268694.0,248.415,37860,17431830.0,35770.293868388166,1.955,2.335,-0.8569118,1.4766289
"Peoria, IL","Peoria, IL",45851.0,406.905,18657019.0,224.827,37900,22012933.0,54098.45787100183,0.8925000000000001,1.1175,-0.37754768,3.227832
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",61094.0,6078.451,371354629.0,3793.735,37980,388791070.0,63962.195302717744,1.315,1.4300000000000002,1.126679,1.6450509
"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Scottsdale, AZ",44208.0,4761.694,210503331.0,2701.966,38060,217895725.0,45760.12759324728,1.6749999999999998,1.8825,0.61092466,1.6135566
"Pine Bluff, AR","Pine Bluff, AR",33224.0,90.923,3020818.0,43.021,38220,3344188.0,36780.44059258934,0.6375,1.0525,-1.7647055,12.148008
"Pittsburgh, PA","Pittsburgh, PA",54471.0,2330.283,126933158.0,1479.693,38300,134322913.0,57642.31769274376,0.765,1.085,0.09829904,1.204991
"Pittsfield, MA","Pittsfield, MA",54135.0,126.485,6847305.0,85.969,38340,6563795.0,51893.860932126336,1.1775,1.2875,-0.60347074,2.704568
"Pocatello, ID","Pocatello, ID",36884.0,93.289,3440825.0,52.135,38540,3072557.0,32935.89812303701,1.64,1.8375,-0.5609774,3.6492124
"Portland-South Portland, ME","Portland-South Portland, ME",54914.0,532.28,29229661.0,377.393,38860,27521358.0,51704.6629593447,1.72,1.955,0.7431564,1.4235411
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",54014.0,2456.462,132683509.0,1572.32,38900,143680585.0,58490.86409641183,1.63,1.81,0.2674773,1.0669582
"Port St. Lucie, FL","Port St. Lucie, FL",51824.0,473.192,24522711.0,218.465,38940,14844261.0,31370.48174948013,2.57,,0.44561318,1.1887226
"Prescott Valley-Prescott, AZ","Prescott, AZ",38381.0,228.055,8753027.0,99.201,39150,6263132.0,27463.25228563285,2.57,,,
"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",52147.0,1617.057,84324547.0,941.495,39300,76611155.0,47376.90446286061,1.595,1.7650000000000001,1.8920596,1.6055467
"Provo-Orem, UT","Provo-Orem, UT",38802.0,617.751,23969840.0,351.448,39340,23037069.0,37291.836031022205,1.955,2.335,0.20841809,1.2173239
"Pueblo, CO","Pueblo, CO",37540.0,166.426,6247636.0,80.347,39380,5936817.0,35672.41296432048,1.63,1.81,,
"Punta Gorda, FL","Punta Gorda, FL",39868.0,181.537,7237457.0,71.596,39460,4518513.0,24890.314371175024,2.57,,,
"Racine, WI","Racine, WI",47419.0,195.949,9291789.0,95.407,39540,8206941.0,41883.04609872977,1.56,1.72,-0.21236911,1.7746772
"Raleigh, NC","Raleigh, NC",52219.0,1334.342,69678276.0,847.287,39580,71856766.0,53851.835586378904,1.72,1.955,0.63762254,2.109414
"Rapid City, SD","Rapid City, SD",47885.0,138.203,6617799.0,92.669,39660,5793802.0,41922.40399991317,1.63,1.81,-0.73510665,3.8213954
"Reading, PA","Reading, PA",47412.0,417.524,19795515.0,225.937,39740,17911239.0,42898.70522413083,1.26,1.37,0.5510229,2.0302742
"Redding, CA","Redding, CA",44480.0,179.539,7985961.0,90.997,39820,7635618.0,42529.02154963545,1.8825,2.2175000000000002,0.027869297,1.8249019
"Reno, NV","Reno, NV",56120.0,461.336,25890156.0,302.436,39900,24833406.0,53829.32613106283,1.72,1.955,-0.30601346,1.3864645
"Richmond, VA","Richmond, VA",55282.0,1269.478,70179218.0,851.572,40060,74128689.0,58393.04737852881,1.46,1.595,-0.37779462,2.5996091
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",38821.0,4570.427,177428094.0,2061.135,40140,159582093.0,34916.23277212392,2.57,,0.5258856,0.9431942
"Roanoke, VA","Roanoke, VA",45076.0,313.488,14130719.0,197.07,40220,14791179.0,47182.60029092023,1.4000000000000001,1.525,-0.55422455,2.026449
"Rochester, MN","Rochester, MN",51971.0,217.828,11320741.0,150.559,40340,12078681.0,55450.543548120535,1.085,1.205,,
"Rochester, NY","Rochester, NY",49625.0,1071.589,53177211.0,651.967,40380,56587691.0,52807.27125791698,1.02,1.15,-0.057178676,1.4036162
"Rockford, IL","Rockford, IL",42121.0,338.252,14247623.0,183.852,40420,14251552.0,42132.94230337145,0.8925000000000001,1.1175,-0.5298573,3.684496
"Rocky Mount, NC","Rocky Mount, NC",37764.0,146.769,5542645.0,73.568,40580,9095290.0,61970.10267835851,1.4300000000000002,1.56,-0.5157553,3.0798628
"Rome, GA","Rome, GA",37003.0,97.427,3605099.0,53.013,40660,3778121.0,38778.99350282776,1.085,1.205,,
"Sacramento-Roseville-Folsom, CA","Sacramento--Roseville--Arden-Arcade, CA",54010.0,2320.381,125324628.0,1342.266,40900,124292926.0,53565.740281445156,1.81,2.1,,
"Saginaw, MI","Saginaw, MI",37286.0,191.996,7158836.0,107.633,40980,7943763.0,41374.62759640826,0.6375,1.0525,-0.011556488,2.2259817
"St. Cloud, MN","St. Cloud, MN",44679.0,198.106,8851230.0,138.137,41060,9473689.0,47821.312832524,1.085,1.205,-0.114927515,2.561532
"St. George, UT","St. George, UT",36809.0,165.859,6105133.0,94.833,41100,5116834.0,30850.50554989479,2.1,2.57,,
"St. Joseph, MO-KS","St. Joseph, MO-KS",37934.0,126.598,4802388.0,72.88,41140,5096338.0,40256.070396056806,0.6375,1.0525,-1.5072727,7.939646
"St. Louis, MO-IL","St. Louis, MO-IL",52944.0,2805.85,148554261.0,1776.914,41180,147633364.0,52616.271005221235,1.26,1.3725,-0.7286122,2.3558264
"Salem, OR","Salem, OR",40811.0,424.968,17343161.0,221.909,41420,15672140.0,36878.400256019275,1.595,1.7650000000000001,0.40532306,1.6449219
"Salinas, CA","Salinas, CA",53989.0,435.477,23511124.0,249.641,41500,25149109.0,57750.717029831656,1.8825,2.2175000000000002,0.28531894,1.100336
"Salisbury, MD-DE","Salisbury, MD-DE",46722.0,404.067,18878866.0,219.877,41540,21898288.0,54194.69543417305,2.1,2.57,,
"Salt Lake City, UT","Salt Lake City, UT",49048.0,1205.238,59114954.0,921.723,41620,79689409.0,66119.23039266934,1.205,1.315,-0.030384822,0.74531084
"San Angelo, TX","San Angelo, TX",43896.0,120.501,5289508.0,73.41,41660,7357518.0,61057.73396071402,1.37,1.49,,
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",44874.0,2474.274,111030910.0,1455.46,41700,115793452.0,46798.9608264889,1.4300000000000002,1.56,-0.21295145,2.9820375
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA",58097.0,3325.468,193199828.0,2119.705,41740,210693896.0,63357.667552356535,1.955,2.335,0.46282488,0.6727623
"San Francisco-Oakland-Berkeley, CA","San Francisco-Oakland-Hayward, CA",92638.0,4710.693,436388051.0,3351.475,41860,472872746.0,100382.84091109312,1.53,1.685,0.67213905,0.68289673
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",98690.0,1993.582,196747512.0,1430.272,41940,289710772.0,145321.72341042405,0.8925000000000001,1.1175,0.20881456,0.76032656
"San Luis Obispo-Paso Robles, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA",55635.0,282.838,15735750.0,173.13,42020,16138584.0,57059.46159992646,2.57,,1.115155,1.2240349
"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA",64901.0,275.105,17854678.0,155.451,42100,13520021.0,49144.948292470144,2.57,,0.7640807,1.1887424
"Santa Fe, NM","Santa Fe, NM",55273.0,149.617,8269830.0,93.813,42140,5748226.0,38419.604724062105,2.4524999999999997,2.57,0.020290686,2.1905851
"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA",59633.0,445.606,26572680.0,276.436,42200,26861059.0,60279.8413845415,1.8825,2.2175000000000002,0.87240803,0.8891545
"Santa Rosa-Petaluma, CA","Santa Rosa, CA",60170.0,503.246,30280366.0,304.145,42220,27421167.0,54488.594047444,2.4524999999999997,2.57,1.3241285,1.0017296
"Savannah, GA","Savannah, GA",44755.0,386.337,17290550.0,234.619,42340,18839697.0,48764.93061756963,1.595,1.7650000000000001,-0.52421963,1.4564685
"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA",43905.0,555.645,24395784.0,324.831,42540,25497710.0,45888.48995311755,1.02,1.15,0.007646776,1.6165924
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",69913.0,3884.469,271575069.0,2611.999,42660,332835662.0,85683.69627869343,1.46,1.595,1.1312938,1.0451405
"Sebastian-Vero Beach, FL","Sebastian-Vero Beach, FL",72149.0,154.314,11133656.0,80.405,42680,5130162.0,33244.955091566546,2.335,2.57,,
"Sebring-Avon Park, FL","Sebring, FL",32922.0,104.06,3425904.0,40.633,42700,2547217.0,24478.349029406112,1.81,2.1,,
"Sheboygan, WI","Sheboygan, WI",50722.0,115.235,5844985.0,74.532,43100,6619831.0,57446.35744348505,0.51,1.02,,
"Sherman-Denison, TX","Sherman-Denison, TX",40662.0,131.214,5335477.0,69.718,43300,4475124.0,34105.537518862315,1.26,1.3725,-1.0083613,4.7490015
"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA",43808.0,400.357,17538748.0,239.096,43340,22104981.0,55213.17474154317,1.595,1.7650000000000001,,
"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ",39165.0,124.99,4895203.0,51.109,43420,4259736.0,34080.61444915593,2.1,2.57,,
"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD",48058.0,143.127,6878449.0,95.052,43580,7495029.0,52366.28309124065,0.6375,1.0525,-1.1173003,5.3568873
"Sioux Falls, SD","Sioux Falls, SD",57299.0,260.521,14927674.0,201.21,43620,17267303.0,66279.88914521286,1.085,1.205,-0.96180904,4.645673
"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI",45624.0,321.447,14665803.0,176.994,43780,13096715.0,40742.99962357713,1.205,1.315,-1.2400913,4.3622136
"Spartanburg, SC","Spartanburg, SC",41783.0,306.632,12812008.0,180.478,43900,13125872.0,42806.59552819014,1.2325,1.3425,,
"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",44006.0,550.595,24229248.0,315.316,44060,23558813.0,42787.91670828831,1.63,1.81,0.68721837,1.6441077
"Springfield, IL","Springfield, IL",46056.0,209.175,9633687.0,128.998,44100,10377290.0,49610.56531612287,0.51,1.02,,
"Springfield, MA","Springfield, MA",50057.0,700.293,35054755.0,408.468,44140,30181745.0,43098.7386708135,1.2325,1.3425,0.71673334,1.5232978
"Springfield, MO","Springfield, MO",40306.0,462.3,18633452.0,283.362,44180,17629924.0,38135.24551157257,1.4000000000000001,1.525,-0.75128365,3.5972419
"Springfield, OH","Springfield, OH",39235.0,134.649,5282966.0,62.171,44220,4352218.0,32322.6908480568,1.4300000000000002,1.56,,
"State College, PA","State College, PA",44527.0,162.25,7224437.0,119.115,44300,7926572.0,48854.06471494607,1.15,1.26,0.7740856,2.4057698
"Staunton, VA","Staunton-Waynesboro, VA",42622.0,121.984,5199161.0,65.173,44420,4842978.0,39701.74777019937,1.63,1.81,,
"Stockton, CA","Stockton-Lodi, CA",42391.0,742.516,31475861.0,331.977,44700,28027041.0,37746.04318290784,2.1,2.57,0.58965874,2.072873
"Sumter, SC","Sumter, SC",35768.0,140.514,5025970.0,66.275,44940,4251788.0,30258.821185077642,1.56,1.72,-0.9014547,3.8401868
"Syracuse, NY","Syracuse, NY",48009.0,651.048,31256367.0,383.083,45060,36412174.0,55928.5551910151,0.6375,1.0525,-0.5863397,2.2087793
"Tallahassee, FL","Tallahassee, FL",40605.0,383.467,15570591.0,228.074,45220,15837439.0,41300.65690137613,1.2325,1.3425,,
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",45313.0,3091.225,140073159.0,1780.852,45300,137030695.0,44328.929469708615,1.56,1.72,-0.2189571,0.9978694
"Terre Haute, IN","Terre Haute, IN",36789.0,186.925,6876722.0,91.899,45460,7166368.0,38338.19981275913,1.0525,1.1775,-1.3878751,6.5088487
"Texarkana, TX-AR","Texarkana, TX-AR",36485.0,150.254,5482014.0,78.848,45500,5122467.0,34092.05079398885,1.085,1.205,-0.7725667,3.8152156
"The Villages, FL","The Villages, FL",44097.0,124.933,5509132.0,42.991,45540,2397299.0,19188.677130942186,2.57,,,
