Year,Quarter,Metropolitan Statistical Areas,Debt-to-Income Ratio Low,Debt-to-Income Ratio High
2017,4,"Lubbock, TX (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Lynchburg, VA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Macon-Bibb County, GA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Madera, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Madison, WI (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Manchester-Nashua, NH (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Manhattan, KS (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Mankato-North Mankato, MN (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Mansfield, OH (Metropolitan Statistical Area)",1.15,1.26
2017,4,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Medford, OR (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Merced, CA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Midland, MI (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Midland, TX (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Missoula, MT (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Mobile, AL (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Modesto, CA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Monroe, LA (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Monroe, MI (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Montgomery, AL (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Morgantown, WV (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Morristown, TN (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Muncie, IN (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Muskegon, MI (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",2.57,
2017,4,"Napa, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",1.26,1.37
2017,4,"New Bern, NC (Metropolitan Statistical Area)",1.81,2.1
2017,4,"New Haven-Milford, CT (Metropolitan Statistical Area)",1.26,1.37
2017,4,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",1.37,1.49
2017,4,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Norwich-New London, CT (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Ocala, FL (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Ocean City, NJ (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Odessa, TX (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Oklahoma City, OK (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Olympia-Tumwater, WA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Owensboro, KY (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",2.57,
2017,4,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Panama City, FL (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Peoria, IL (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Pine Bluff, AR (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Pittsburgh, PA (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Pittsfield, MA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Pocatello, ID (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Portland-South Portland, ME (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Port St. Lucie, FL (Metropolitan Statistical Area)",2.57,
2017,4,"Prescott, AZ (Metropolitan Statistical Area)",2.57,
2017,4,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Provo-Orem, UT (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Pueblo, CO (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Punta Gorda, FL (Metropolitan Statistical Area)",2.57,
2017,4,"Racine, WI (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Raleigh, NC (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Rapid City, SD (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Reading, PA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Redding, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Reno, NV (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Richmond, VA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",2.57,
2017,4,"Roanoke, VA (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Rochester, MN (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Rochester, NY (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Rockford, IL (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Rocky Mount, NC (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Rome, GA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Saginaw, MI (Metropolitan Statistical Area)",0.51,1.02
2017,4,"St. Cloud, MN (Metropolitan Statistical Area)",1.15,1.26
2017,4,"St. George, UT (Metropolitan Statistical Area)",2.1,2.57
2017,4,"St. Joseph, MO-KS (Metropolitan Statistical Area)",0.51,1.02
2017,4,"St. Louis, MO-IL (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Salem, OR (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Salinas, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Salisbury, MD-DE (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Salt Lake City, UT (Metropolitan Statistical Area)",1.15,1.26
2017,4,"San Angelo, TX (Metropolitan Statistical Area)",1.37,1.49
2017,4,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",1.37,1.49
2017,4,"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",0.51,1.02
2017,4,"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",2.57,
2017,4,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",2.57,
2017,4,"Santa Fe, NM (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Santa Rosa, CA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Savannah, GA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Sebring, FL (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Sheboygan, WI (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Sherman-Denison, TX (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Sioux Falls, SD (Metropolitan Statistical Area)",1.02,1.15
2017,4,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Spartanburg, SC (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Springfield, IL (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Springfield, MA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Springfield, MO (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Springfield, OH (Metropolitan Statistical Area)",1.37,1.49
2017,4,"State College, PA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Stockton-Lodi, CA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Sumter, SC (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Syracuse, NY (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Tallahassee, FL (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Terre Haute, IN (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Texarkana, TX-AR (Metropolitan Statistical Area)",1.02,1.15
2017,4,"The Villages, FL (Metropolitan Statistical Area)",2.57,
2017,4,"Toledo, OH (Metropolitan Statistical Area)",1.02,1.15
