"CAINC30 Economic Profile"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2017"
"11180","Ames, IA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11180","Ames, IA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",41321
"11180","Ames, IA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",77718
"11260","Anchorage, AK (Metropolitan Statistical Area)","","Place of residence profile",""
"11260","Anchorage, AK (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",23274975
"11260","Anchorage, AK (Metropolitan Statistical Area)","100","  Population (persons) 3/",400647
"11260","Anchorage, AK (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11260","Anchorage, AK (Metropolitan Statistical Area)","110","  Per capita personal income 4/",58093
"11260","Anchorage, AK (Metropolitan Statistical Area)","240","Total employment (number of jobs)",242789
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Place of residence profile",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",20944911
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","100","  Population (persons) 3/",369208
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",56729
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","240","Total employment (number of jobs)",266796
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","","Place of residence profile",""
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4095935
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","100","  Population (persons) 3/",114664
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",35721
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",58628
"11540","Appleton, WI (Metropolitan Statistical Area)","","Place of residence profile",""
"11540","Appleton, WI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",11635733
"11540","Appleton, WI (Metropolitan Statistical Area)","100","  Population (persons) 3/",236058
"11540","Appleton, WI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11540","Appleton, WI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",49292
"11540","Appleton, WI (Metropolitan Statistical Area)","240","Total employment (number of jobs)",155134
"11700","Asheville, NC (Metropolitan Statistical Area)","","Place of residence profile",""
"11700","Asheville, NC (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",19696720
"11700","Asheville, NC (Metropolitan Statistical Area)","100","  Population (persons) 3/",455255
"11700","Asheville, NC (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11700","Asheville, NC (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43265
"11700","Asheville, NC (Metropolitan Statistical Area)","240","Total employment (number of jobs)",273581
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","","Place of residence profile",""
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",8126567
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","100","  Population (persons) 3/",208997
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",38884
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",126066
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","","Place of residence profile",""
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",295294501
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","100","  Population (persons) 3/",5874249
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",50269
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",3774198
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","","Place of residence profile",""
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",12397367
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","100","  Population (persons) 3/",266328
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","110","  Per capita personal income 4/",46549
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","240","Total employment (number of jobs)",164114
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","","Place of residence profile",""
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5889666
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","100","  Population (persons) 3/",161641
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",36437
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",83721
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","","Place of residence profile",""
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",24301614
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","100","  Population (persons) 3/",600006
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40502
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","240","Total employment (number of jobs)",318487
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",117458116
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",2115230
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",55530
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",1449768
"12540","Bakersfield, CA (Metropolitan Statistical Area)","","Place of residence profile",""
"12540","Bakersfield, CA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",34196499
"12540","Bakersfield, CA (Metropolitan Statistical Area)","100","  Population (persons) 3/",888988
"12540","Bakersfield, CA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12540","Bakersfield, CA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",38467
"12540","Bakersfield, CA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",412040
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","","Place of residence profile",""
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",166712892
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","100","  Population (persons) 3/",2798587
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","110","  Per capita personal income 4/",59570
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","240","Total employment (number of jobs)",1837907
"12620","Bangor, ME (Metropolitan Statistical Area)","","Place of residence profile",""
"12620","Bangor, ME (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6044013
"12620","Bangor, ME (Metropolitan Statistical Area)","100","  Population (persons) 3/",151190
"12620","Bangor, ME (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12620","Bangor, ME (Metropolitan Statistical Area)","110","  Per capita personal income 4/",39976
"12620","Bangor, ME (Metropolitan Statistical Area)","240","Total employment (number of jobs)",90783
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","","Place of residence profile",""
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",15109606
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","100","  Population (persons) 3/",213482
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",70777
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",152680
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","","Place of residence profile",""
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",39158059
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","100","  Population (persons) 3/",853762
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",45865
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",530726
"12980","Battle Creek, MI (Metropolitan Statistical Area)","","Place of residence profile",""
"12980","Battle Creek, MI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5187262
"12980","Battle Creek, MI (Metropolitan Statistical Area)","100","  Population (persons) 3/",134358
"12980","Battle Creek, MI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"12980","Battle Creek, MI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",38608
"12980","Battle Creek, MI (Metropolitan Statistical Area)","240","Total employment (number of jobs)",70880
"13020","Bay City, MI (Metropolitan Statistical Area)","","Place of residence profile",""
"13020","Bay City, MI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4187549
"13020","Bay City, MI (Metropolitan Statistical Area)","100","  Population (persons) 3/",104189
"13020","Bay City, MI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13020","Bay City, MI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40192
"13020","Bay City, MI (Metropolitan Statistical Area)","240","Total employment (number of jobs)",46766
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",17035245
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",398686
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",42728
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",210780
"13220","Beckley, WV (Metropolitan Statistical Area)","","Place of residence profile",""
"13220","Beckley, WV (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4327543
"13220","Beckley, WV (Metropolitan Statistical Area)","100","  Population (persons) 3/",118639
"13220","Beckley, WV (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13220","Beckley, WV (Metropolitan Statistical Area)","110","  Per capita personal income 4/",36477
"13220","Beckley, WV (Metropolitan Statistical Area)","240","Total employment (number of jobs)",53715
"13380","Bellingham, WA (Metropolitan Statistical Area)","","Place of residence profile",""
"13380","Bellingham, WA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",10355271
"13380","Bellingham, WA (Metropolitan Statistical Area)","100","  Population (persons) 3/",221650
"13380","Bellingham, WA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13380","Bellingham, WA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",46719
"13380","Bellingham, WA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",126487
"13460","Bend, OR (Metropolitan Statistical Area)","","Place of residence profile",""
"13460","Bend, OR (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",9906980
"13460","Bend, OR (Metropolitan Statistical Area)","100","  Population (persons) 3/",186807
"13460","Bend, OR (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13460","Bend, OR (Metropolitan Statistical Area)","110","  Per capita personal income 4/",53033
"13460","Bend, OR (Metropolitan Statistical Area)","240","Total employment (number of jobs)",126915
"13740","Billings, MT (Metropolitan Statistical Area)","","Place of residence profile",""
"13740","Billings, MT (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",8889336
"13740","Billings, MT (Metropolitan Statistical Area)","100","  Population (persons) 3/",179372
"13740","Billings, MT (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13740","Billings, MT (Metropolitan Statistical Area)","110","  Per capita personal income 4/",49558
"13740","Billings, MT (Metropolitan Statistical Area)","240","Total employment (number of jobs)",120390
"13780","Binghamton, NY (Metropolitan Statistical Area)","","Place of residence profile",""
"13780","Binghamton, NY (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",10437731
"13780","Binghamton, NY (Metropolitan Statistical Area)","100","  Population (persons) 3/",241609
"13780","Binghamton, NY (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13780","Binghamton, NY (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43201
"13780","Binghamton, NY (Metropolitan Statistical Area)","240","Total employment (number of jobs)",127064
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","","Place of residence profile",""
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",52786758
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","100","  Population (persons) 3/",1085750
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",48618
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",658141
"13900","Bismarck, ND (Metropolitan Statistical Area)","","Place of residence profile",""
"13900","Bismarck, ND (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6976961
"13900","Bismarck, ND (Metropolitan Statistical Area)","100","  Population (persons) 3/",128001
"13900","Bismarck, ND (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"13900","Bismarck, ND (Metropolitan Statistical Area)","110","  Per capita personal income 4/",54507
"13900","Bismarck, ND (Metropolitan Statistical Area)","240","Total employment (number of jobs)",94103
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","","Place of residence profile",""
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","10","Personal income (thousands of dollars)",6129292
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","100","  Population (persons) 3/",166907
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","","Per capita incomes (dollars)",""
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","110","  Per capita personal income 4/",36723
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","240","Total employment (number of jobs)",87847
"14010","Bloomington, IL (Metropolitan Statistical Area)","","Place of residence profile",""
"14010","Bloomington, IL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",8166372
"14010","Bloomington, IL (Metropolitan Statistical Area)","100","  Population (persons) 3/",172845
"14010","Bloomington, IL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14010","Bloomington, IL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",47247
"14010","Bloomington, IL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",112014
"14020","Bloomington, IN (Metropolitan Statistical Area)","","Place of residence profile",""
"14020","Bloomington, IN (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6713796
"14020","Bloomington, IN (Metropolitan Statistical Area)","100","  Population (persons) 3/",167513
"14020","Bloomington, IN (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14020","Bloomington, IN (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40079
"14020","Bloomington, IN (Metropolitan Statistical Area)","240","Total employment (number of jobs)",97365
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","","Place of residence profile",""
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",3666836
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","100","  Population (persons) 3/",83924
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43692
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",52947
"14260","Boise City, ID (Metropolitan Statistical Area)","","Place of residence profile",""
"14260","Boise City, ID (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",31287639
"14260","Boise City, ID (Metropolitan Statistical Area)","100","  Population (persons) 3/",710080
"14260","Boise City, ID (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14260","Boise City, ID (Metropolitan Statistical Area)","110","  Per capita personal income 4/",44062
"14260","Boise City, ID (Metropolitan Statistical Area)","240","Total employment (number of jobs)",428223
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","","Place of residence profile",""
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",362272886
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","100","  Population (persons) 3/",4844597
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","110","  Per capita personal income 4/",74779
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","240","Total employment (number of jobs)",3618955
"14500","Boulder, CO (Metropolitan Statistical Area) *","","Place of residence profile",""
"14500","Boulder, CO (Metropolitan Statistical Area) *","10","Personal income (thousands of dollars)",22457556
"14500","Boulder, CO (Metropolitan Statistical Area) *","100","  Population (persons) 3/",324073
"14500","Boulder, CO (Metropolitan Statistical Area) *","","Per capita incomes (dollars)",""
"14500","Boulder, CO (Metropolitan Statistical Area) *","110","  Per capita personal income 4/",69298
"14500","Boulder, CO (Metropolitan Statistical Area) *","240","Total employment (number of jobs)",269270
"14540","Bowling Green, KY (Metropolitan Statistical Area)","","Place of residence profile",""
"14540","Bowling Green, KY (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6274681
"14540","Bowling Green, KY (Metropolitan Statistical Area)","100","  Population (persons) 3/",174962
"14540","Bowling Green, KY (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14540","Bowling Green, KY (Metropolitan Statistical Area)","110","  Per capita personal income 4/",35863
"14540","Bowling Green, KY (Metropolitan Statistical Area)","240","Total employment (number of jobs)",101561
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","","Place of residence profile",""
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",14082667
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","100","  Population (persons) 3/",266550
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",52833
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",132502
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","","Place of residence profile",""
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",106392305
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","100","  Population (persons) 3/",943457
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","110","  Per capita personal income 4/",112769
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","240","Total employment (number of jobs)",659847
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",11606636
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",423181
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",27427
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",192721
"15260","Brunswick, GA (Metropolitan Statistical Area)","","Place of residence profile",""
"15260","Brunswick, GA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4598165
"15260","Brunswick, GA (Metropolitan Statistical Area)","100","  Population (persons) 3/",117728
"15260","Brunswick, GA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"15260","Brunswick, GA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",39058
"15260","Brunswick, GA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",59742
